age,gender,parent_income,num_siblings,family_support,commute_time_min,part_time_job,previous_gpa,num_failed_courses,high_school_grade,math_background_score,language_background_score,science_background_score,prior_semester_credits,study_hours_last_semester,past_attendance_rate,academic_warnings_count,lecture_attendance_rate,assignment_submission_rate,quiz_avg_score,midterm_score,lab_participation_rate,online_portal_usage_minutes,group_project_activity,library_visits_per_month,discussion_forum_posts,lateness_count,stress_level,sleep_hours,motivation_level,study_time_per_week,concentration_level,exam_anxiety_level,course_difficulty_rating,teacher_experience_years,class_size,num_prerequisites,course_type,final_score,final_grade,pass_fail
26.0,Female,22492.0,2.0,1.0,42.0,No,1.2,1.0,73.1,34.0,18.0,22.0,15.0,72.0,86.0,,65.0,61.0,97.0,,68.0,1703.0,2.0,13.0,21.0,8.0,7.0,9.8,1.0,26.0,10.0,10.0,2.0,18.0,192.0,4.0,Elective,74.7,C,Pass
29.0,Male,10640.0,4.0,4.0,36.0,Yes,1.44,4.0,96.0,77.0,27.0,26.0,18.0,41.0,64.0,2.0,83.0,63.0,12.0,68.0,17.0,496.0,8.0,9.0,33.0,11.0,9.0,6.0,2.0,13.0,0.0,8.0,2.0,10.0,24.0,2.0,Elective,56.6,D,Pass
19.0,Male,4221.0,0.0,4.0,60.0,No,1.46,2.0,70.4,48.0,12.0,71.0,17.0,81.0,68.0,1.0,,,81.0,45.0,94.0,915.0,36.0,9.0,30.0,4.0,3.0,9.0,3.0,1.0,1.0,10.0,3.0,,89.0,0.0,Mandatory,69.4,C,Pass
27.0,Female,12174.0,3.0,4.0,58.0,No,2.79,4.0,85.1,13.0,36.0,41.0,13.0,165.0,93.0,3.0,79.0,87.0,18.0,25.0,23.0,1245.0,98.0,10.0,9.0,11.0,10.0,3.5,7.0,21.0,5.0,3.0,1.0,9.0,179.0,1.0,Mandatory,59.3,D,Pass
26.0,Female,23635.0,1.0,5.0,60.0,,2.29,3.0,99.9,62.0,66.0,63.0,19.0,140.0,51.0,2.0,62.0,89.0,1.0,95.0,,831.0,97.0,18.0,43.0,4.0,9.0,7.3,10.0,6.0,,0.0,2.0,27.0,168.0,3.0,,64.7,C,Pass
27.0,Male,21995.0,1.0,5.0,71.0,No,1.53,0.0,77.6,51.0,72.0,96.0,13.0,193.0,66.0,0.0,,58.0,58.0,31.0,64.0,1205.0,27.0,13.0,22.0,11.0,5.0,4.1,7.0,3.0,5.0,,1.0,14.0,105.0,4.0,Mandatory,62.2,C,
22.0,Male,21026.0,5.0,3.0,19.0,Yes,3.21,1.0,74.2,90.0,47.0,83.0,18.0,126.0,95.0,2.0,56.0,71.0,21.0,62.0,93.0,1079.0,11.0,1.0,38.0,,6.0,4.7,3.0,9.0,3.0,8.0,3.0,4.0,190.0,4.0,Mandatory,60.7,D,Pass
19.0,Male,20304.0,2.0,2.0,43.0,No,3.41,3.0,63.5,6.0,41.0,11.0,17.0,187.0,56.0,1.0,91.0,88.0,32.0,0.0,16.0,14.0,4.0,16.0,47.0,11.0,2.0,,2.0,23.0,7.0,8.0,2.0,33.0,165.0,0.0,Elective,57.0,C,Pass
21.0,Female,9075.0,2.0,,55.0,Yes,1.63,0.0,,4.0,13.0,65.0,17.0,96.0,79.0,1.0,73.0,57.0,67.0,91.0,,1165.0,21.0,10.0,44.0,10.0,7.0,5.6,5.0,1.0,,9.0,3.0,12.0,,1.0,Mandatory,82.1,C,Pass
29.0,Female,24378.0,3.0,4.0,47.0,No,3.17,1.0,77.8,53.0,10.0,17.0,16.0,140.0,78.0,2.0,62.0,53.0,95.0,47.0,51.0,805.0,39.0,19.0,13.0,10.0,9.0,6.0,10.0,39.0,3.0,4.0,4.0,12.0,176.0,4.0,Elective,68.5,C,Pass
,Female,4316.0,2.0,2.0,73.0,No,1.19,3.0,83.8,46.0,99.0,99.0,,159.0,68.0,1.0,58.0,52.0,9.0,87.0,32.0,185.0,99.0,11.0,8.0,2.0,7.0,3.7,6.0,19.0,9.0,3.0,5.0,6.0,57.0,0.0,Elective,57.5,C,Pass
24.0,Male,19658.0,2.0,0.0,14.0,Yes,3.57,2.0,71.4,36.0,,3.0,14.0,152.0,,0.0,90.0,50.0,21.0,,46.0,1868.0,80.0,2.0,5.0,6.0,9.0,4.6,3.0,29.0,1.0,1.0,5.0,24.0,48.0,3.0,Mandatory,56.8,D,Pass
29.0,Male,15681.0,1.0,3.0,75.0,Yes,3.89,0.0,50.1,46.0,85.0,45.0,14.0,104.0,83.0,1.0,56.0,68.0,71.0,25.0,42.0,987.0,16.0,11.0,37.0,13.0,4.0,7.0,4.0,17.0,1.0,10.0,3.0,16.0,109.0,4.0,Elective,59.3,C,Pass
25.0,Female,16953.0,5.0,3.0,55.0,No,1.47,,78.0,29.0,25.0,92.0,12.0,12.0,95.0,1.0,82.0,58.0,60.0,68.0,55.0,1936.0,85.0,10.0,38.0,,7.0,6.7,4.0,1.0,9.0,5.0,2.0,12.0,126.0,4.0,Mandatory,70.7,C,Pass
20.0,,28191.0,4.0,0.0,55.0,No,3.36,4.0,78.6,15.0,58.0,89.0,18.0,150.0,95.0,2.0,66.0,,27.0,85.0,51.0,309.0,90.0,0.0,28.0,7.0,0.0,7.6,8.0,39.0,2.0,4.0,5.0,18.0,47.0,3.0,Elective,62.4,C,Pass
18.0,Male,6983.0,1.0,2.0,45.0,Yes,1.29,2.0,,83.0,31.0,65.0,18.0,146.0,75.0,3.0,73.0,75.0,29.0,76.0,84.0,127.0,54.0,15.0,47.0,3.0,1.0,8.4,7.0,33.0,4.0,3.0,2.0,5.0,77.0,4.0,Elective,71.6,C,
21.0,Female,9834.0,5.0,2.0,56.0,No,3.88,1.0,55.1,67.0,35.0,22.0,17.0,18.0,78.0,0.0,98.0,88.0,55.0,77.0,24.0,1677.0,88.0,13.0,,7.0,5.0,4.6,4.0,23.0,4.0,9.0,5.0,16.0,97.0,0.0,Mandatory,86.8,,Pass
19.0,Male,22002.0,1.0,1.0,44.0,No,2.36,4.0,65.2,79.0,26.0,36.0,13.0,154.0,80.0,2.0,78.0,55.0,52.0,42.0,,39.0,55.0,13.0,16.0,,8.0,5.5,3.0,8.0,2.0,7.0,2.0,29.0,72.0,1.0,Mandatory,61.4,C,Pass
25.0,Male,12498.0,3.0,2.0,79.0,No,2.61,2.0,79.9,37.0,11.0,47.0,14.0,128.0,57.0,,77.0,98.0,71.0,14.0,12.0,735.0,84.0,11.0,46.0,9.0,4.0,6.6,0.0,8.0,3.0,2.0,4.0,25.0,176.0,2.0,Elective,64.4,C,Pass
21.0,Male,18643.0,5.0,5.0,41.0,Yes,3.29,3.0,58.8,5.0,35.0,,,169.0,69.0,1.0,75.0,57.0,94.0,43.0,26.0,331.0,25.0,5.0,16.0,13.0,9.0,3.1,4.0,35.0,4.0,5.0,1.0,4.0,64.0,4.0,Elective,70.4,C,Pass
19.0,Female,5206.0,5.0,3.0,61.0,Yes,1.75,0.0,67.2,82.0,84.0,63.0,15.0,62.0,55.0,0.0,54.0,80.0,23.0,67.0,30.0,273.0,,10.0,45.0,14.0,9.0,6.2,10.0,,4.0,3.0,4.0,22.0,30.0,1.0,,61.2,C,Pass
23.0,Female,17820.0,3.0,5.0,7.0,Yes,2.2,4.0,57.4,,54.0,4.0,15.0,70.0,50.0,2.0,97.0,52.0,32.0,76.0,10.0,1876.0,90.0,9.0,30.0,2.0,5.0,9.2,7.0,27.0,0.0,7.0,4.0,32.0,146.0,2.0,Elective,66.1,C,Pass
23.0,Male,11704.0,5.0,1.0,83.0,Yes,1.21,0.0,66.8,15.0,2.0,49.0,12.0,48.0,63.0,3.0,91.0,55.0,50.0,5.0,78.0,386.0,90.0,11.0,1.0,5.0,1.0,5.4,8.0,23.0,5.0,4.0,2.0,12.0,105.0,1.0,Mandatory,54.1,C,Pass
27.0,Male,14930.0,4.0,4.0,13.0,No,2.84,2.0,86.4,63.0,94.0,58.0,12.0,127.0,78.0,0.0,93.0,99.0,16.0,75.0,9.0,736.0,2.0,3.0,24.0,3.0,9.0,5.5,10.0,14.0,3.0,0.0,1.0,20.0,53.0,4.0,Mandatory,80.2,C,Pass
21.0,Female,12320.0,0.0,4.0,100.0,Yes,3.4,0.0,68.7,88.0,18.0,25.0,16.0,15.0,74.0,3.0,95.0,56.0,35.0,9.0,67.0,224.0,76.0,9.0,29.0,5.0,5.0,4.9,9.0,14.0,3.0,5.0,2.0,15.0,30.0,4.0,Elective,65.8,C,Pass
23.0,Male,7178.0,2.0,4.0,25.0,No,3.56,4.0,90.9,90.0,17.0,8.0,20.0,122.0,69.0,2.0,77.0,54.0,42.0,2.0,13.0,363.0,62.0,5.0,46.0,7.0,3.0,,3.0,0.0,9.0,9.0,4.0,16.0,80.0,2.0,Elective,54.1,C,Pass
19.0,Female,7358.0,5.0,1.0,101.0,No,2.61,3.0,96.4,58.0,77.0,51.0,19.0,156.0,65.0,0.0,72.0,66.0,67.0,10.0,24.0,849.0,58.0,1.0,30.0,,6.0,8.6,10.0,22.0,0.0,4.0,5.0,26.0,192.0,0.0,Elective,56.7,C,Pass
27.0,Female,28752.0,2.0,3.0,116.0,No,3.3,,65.4,89.0,,78.0,20.0,129.0,68.0,3.0,61.0,65.0,98.0,40.0,34.0,1833.0,75.0,7.0,31.0,14.0,7.0,8.8,9.0,29.0,6.0,2.0,2.0,6.0,48.0,4.0,Mandatory,61.8,C,Pass
29.0,Female,6507.0,1.0,2.0,40.0,Yes,1.45,1.0,81.1,6.0,35.0,92.0,19.0,87.0,86.0,1.0,70.0,96.0,50.0,48.0,97.0,1288.0,89.0,7.0,8.0,12.0,10.0,5.1,5.0,8.0,5.0,8.0,2.0,18.0,29.0,4.0,Mandatory,60.6,D,Pass
19.0,Male,24842.0,1.0,1.0,108.0,Yes,3.23,0.0,63.1,23.0,57.0,10.0,15.0,130.0,51.0,1.0,96.0,89.0,0.0,23.0,56.0,1497.0,0.0,5.0,30.0,4.0,2.0,7.3,1.0,0.0,0.0,3.0,2.0,35.0,66.0,4.0,,63.7,C,Pass
27.0,Male,25925.0,5.0,3.0,28.0,No,1.01,4.0,78.4,28.0,90.0,46.0,17.0,157.0,95.0,3.0,52.0,92.0,45.0,80.0,46.0,535.0,93.0,10.0,6.0,12.0,1.0,7.9,0.0,16.0,9.0,9.0,5.0,5.0,46.0,3.0,,70.7,C,Pass
21.0,Male,5508.0,5.0,2.0,62.0,Yes,1.58,4.0,56.0,84.0,67.0,92.0,12.0,141.0,76.0,3.0,99.0,82.0,44.0,92.0,46.0,611.0,43.0,6.0,41.0,1.0,5.0,9.7,7.0,6.0,6.0,3.0,3.0,28.0,31.0,4.0,Mandatory,82.4,C,Pass
